feature,abs_spearman,spearman
sin_pitch,0.6985088766674589,0.6985088766674589
pitch,0.6985088766674589,0.6985088766674589
pos_vz,0.6344315566067933,-0.6344315566067933
climb_rate,0.6344315566067933,0.6344315566067933
sink_positive,0.5859371319398835,-0.5859371319398835
climb_positive,0.5522744719911562,0.5522744719911562
log_elapsed_s,0.36179127299328295,-0.36179127299328295
t_sec,0.3617912382266647,-0.3617912382266647
elapsed_s,0.3617912382266647,-0.3617912382266647
true_airspeed,0.235724562058313,0.235724562058313
airspeed_cubed,0.235724562058313,0.235724562058313
dynamic_pressure,0.2325925004588372,0.2325925004588372
tilt_angle,0.2261056714080383,0.2261056714080383
load_factor_proxy,0.2261056714080383,0.2261056714080383
pos_vx,0.2117333410411884,0.2117333410411884
cos_pitch,0.20538847721557146,-0.20538847721557146
accel_magnitude,0.17407725688251746,0.17407725688251746
ground_speed_3d,0.157390087754123,0.157390087754123
speed_horizontal,0.15681825123630846,0.15681825123630846
cos_roll,0.1438712004916216,-0.1438712004916216
time_cos_120s,0.13613947346322483,-0.13613947346322483
pos_az,0.11076459022812132,-0.11076459022812132
time_cos_60s,0.09015405088248243,-0.09015405088248243
time_sin_120s,0.0858628402498493,-0.0858628402498493
air_rho,0.07553787380606235,-0.07553787380606235
headwind_component,0.06877818288707441,-0.06877818288707441
pos_vy,0.0629808105212213,0.0629808105212213
air_ambient_temperature,0.060563705409345,0.060563705409345
time_sin_60s,0.053312304624868655,0.053312304624868655
time_sin_30s,0.0515009948785447,-0.0515009948785447
time_cos_30s,0.04194065187718176,-0.04194065187718176
wind_north,0.03735228567846638,-0.03735228567846638
headwind_x_airspeed,0.033063406469331404,-0.033063406469331404
time_sin_10s,0.026975732135876482,-0.026975732135876482
pos_ax,0.017857268225761634,-0.017857268225761634
time_cos_10s,0.016865391894483377,-0.016865391894483377
pos_ay,0.006510404296152888,-0.006510404296152888
roll,0.004315097518333048,0.004315097518333048
sin_roll,0.004315097518333048,0.004315097518333048
wind_east,0.0037128186195098936,-0.0037128186195098936
