scope,campaign,metric,estimate,ci_low,ci_high,n_flights
C4-C7,all,RMSE_W,22.991407086842266,19.86503208392297,26.170321296626245,66
C4-C7,all,MAE_W,16.779718391410643,14.91307083914231,18.86627356768031,66
C4-C7,all,RMSLE,0.2587782487176063,0.244519968034844,0.2730407833416809,66
C4-C7,all,R2,0.8703869042986349,0.8330666984477677,0.9022480498622157,66
C4-C7,all,delta_R2,0.42805451974149855,0.40403425816380373,0.4568972386021406,66
C4,4,RMSE_W,21.657898544800137,20.077529004090724,23.355809744892166,18
C4,4,MAE_W,17.25069989291469,15.712482315723227,19.053564416913424,18
C4,4,RMSLE,0.29147661717082796,0.26685497191050056,0.3160035703883929,18
C4,4,R2,0.8805912126836792,0.8505720055222703,0.9029828669266906,18
C4,4,delta_R2,0.3181546259456989,0.28031534787425466,0.36215695908481066,18
C5,5,RMSE_W,19.237123085740368,18.42050319289332,20.133495609946838,18
C5,5,MAE_W,14.708114755293543,13.97305282638225,15.524671389449166,18
C5,5,RMSLE,0.22335261817432905,0.21076422100238212,0.23667813806225318,18
C5,5,R2,0.9066290058210895,0.8913632615178613,0.9167567210917085,18
C5,5,delta_R2,0.44555176737052604,0.41003108024894014,0.4793926618278199,18
C6,6,RMSE_W,17.330166350249673,16.48448210163757,18.1527761106175,26
C6,6,MAE_W,12.933517339261243,12.143715993401514,13.713883711065655,26
C6,6,RMSLE,0.23925951344252527,0.22384838398828788,0.25419815466499135,26
C6,6,R2,0.9266647143806803,0.9177253539687408,0.935005773393347,26
C6,6,delta_R2,0.4962011967533586,0.4634431745016686,0.52476073788298,26
C7,7,RMSE_W,54.31973287616577,50.66144556110849,57.33117041124033,4
C7,7,MAE_W,48.19707720568071,44.67811971069895,51.101269447138,4
C7,7,RMSLE,0.3494481772024908,0.33487543687698734,0.3598525035375446,4
C7,7,R2,0.2996269664316292,0.24480627221009266,0.34919955996264546,4
C7,7,delta_R2,0.42733092181519494,0.38886078129003043,0.45719162521630174,4
