campaign,flight_num,pos_vx,pos_vy,pos_vz,pos_ax,pos_ay,pos_az,speed_horizontal,climb_rate,roll,pitch,tilt_angle,headwind_component,air_rho,air_ambient_temperature,true_airspeed,wind_north,wind_east,ground_speed_3d,accel_magnitude,dynamic_pressure,airspeed_cubed,climb_positive,sink_positive,headwind_x_airspeed,load_factor_proxy,sin_roll,cos_roll,sin_pitch,cos_pitch,t_sec,elapsed_s,log_elapsed_s,time_sin_10s,time_cos_10s,time_sin_30s,time_cos_30s,time_sin_60s,time_cos_60s,time_sin_120s,time_cos_120s
4,54,0.1586805499830862,0.15537302150658838,0.12189684027411327,0.11756879319088417,0.12899095088354923,0.08892944923408147,0.5875506519986239,0.17108081076773057,0.13847625195785523,0.3265719483560309,0.1270019542003229,0.09467695536822496,0.07400628910221942,0.09935985251491398,0.11416634404875457,0.06045752722752093,0.07318805878092716,0.7393148161124103,0.19150764439822276,0.17636725791423638,0.13230581834118874,0.14518939878929843,0.10397810301334856,0.2172977374398692,0.18054945409946435,0.15211020484877463,0.14777141531359364,0.3573386941815687,0.09137845063717817,0.1517320099207663,0.19838863084704947,0.3559710591220541,0.0749071617805876,0.06321831062735421,0.05804337257570754,0.08024850664091843,0.059030721910058155,0.10238864261508566,0.10853845763028314,0.15716796471594646
4,55,0.1522471581491634,0.16575357496852855,0.12669952556324907,0.13011009839559023,0.12487798905176808,0.1039426254684559,0.5589852061486442,0.1923029553452833,0.13509663793572937,0.4373523653184543,0.12753355928085608,0.1259507553003179,0.056446522926306225,0.04968301201174661,0.10280218379372062,0.0476450636163146,0.08440831209225601,0.7129068144168225,0.1786109092951891,0.1832644924459006,0.13669812253578298,0.13282484277404744,0.11597493035286822,0.24762101815512993,0.16141667628002132,0.17180827162479173,0.11821360352229392,0.4587073050331437,0.12325408386587058,0.16641899502433877,0.19345373683121464,0.33402842344525435,0.08417769995468141,0.0667413624520638,0.0693597545871566,0.07446930327446459,0.06871131368601975,0.10651221728840153,0.11627244924682108,0.1463163334845311
4,56,0.1306368909294136,0.1463203252253022,0.12479337793855816,0.11931221186319395,0.11225330477075601,0.10566041999537319,0.6061927546931986,0.2011623676143403,0.11056845625690398,0.45087794722066976,0.12071672854859436,0.11441152634623636,0.05661231414146918,0.027467785322606533,0.09421053279265076,0.06551628519954941,0.08266598017174556,0.7549605181229821,0.16725817554582723,0.1740815435060899,0.12746623860122197,0.15103522929087831,0.11816819282931808,0.21176564899728856,0.12813961270203594,0.14668846085307913,0.11537069084301323,0.46665488477001726,0.1311671989765637,0.1695808675487244,0.20017580525276657,0.3525201227645129,0.07845081358046385,0.06349335050249597,0.06175493238405946,0.07320231824059047,0.06455009934263954,0.10452956567573626,0.11647853669140831,0.1351356350597705
4,57,0.1395406707578109,0.13830751110908301,0.10447890400792068,0.11422648118002318,0.10350757030366496,0.10041933468395053,0.5187508725474015,0.15193666272457146,0.10687869281175434,0.30915041470788,0.12887180814777313,0.09860162204132839,0.06059598703443644,0.025380285148013052,0.1016514985980047,0.09097606295703979,0.05484650876576676,0.6455078856047238,0.16406265490009309,0.14151154868253643,0.12056451930868224,0.11969952530110192,0.10487132955643523,0.1773743791253644,0.16015479608832148,0.13436619721372636,0.11477775135842634,0.34699048942605754,0.08857498401848875,0.1294244572316775,0.18645400312500404,0.3090086900953293,0.06458283532620925,0.06125714488550377,0.04878241251459669,0.06694369362135737,0.04932247104103396,0.08271165899476565,0.09736803703935877,0.13719284091906075
4,58,0.1304946689881591,0.14817782243830208,0.12220202483565737,0.12355766757941276,0.12597586416549003,0.10111048181991714,0.47561530745064484,0.1654947455962913,0.12960990566657474,0.37389265048050435,0.13453209555321283,0.10949030448482096,0.06544169056102911,0.025245752303014703,0.09077205997652256,0.08865244361811905,0.07181693475565987,0.5830324635458615,0.18002264624892153,0.15666049595279458,0.12910668977704057,0.12872017262325536,0.12497883280015913,0.23072637602868115,0.192020851291746,0.1763981169109714,0.12242210067155491,0.41084636592646673,0.1417551172644565,0.152718577061616,0.18401181816332549,0.3291726326201347,0.08243555344067297,0.059537240694404185,0.06353505482873878,0.06975460863274319,0.0595322392400291,0.10649380414154205,0.10389686973340215,0.14893681980218745
4,59,0.1403323290653432,0.1470516702819072,0.12475650587226209,0.12697289449838975,0.13584157425260435,0.12869785263663625,0.5309959930133573,0.1844137144561385,0.11471011686608194,0.4080981852931111,0.1259114043221006,0.10705207113197146,0.07093691127694525,0.028738227137670592,0.09870782694581115,0.053762445848022075,0.07574185008710954,0.6644641990659288,0.18623631827001003,0.15352973774745035,0.11547737795570613,0.12868982805836604,0.11777925641034477,0.19000534623195134,0.15097351606862724,0.16848894110840584,0.1138041088581726,0.422938783990487,0.12091033258271035,0.1574275943443872,0.18623905162738594,0.3257547404326108,0.07618640477305103,0.06028417763629111,0.05099425923801002,0.06739173026209945,0.05078260652867761,0.09920716378437056,0.1016978584812805,0.1384137492049191
4,60,0.1514393912834536,0.14320555454986025,0.12240835809050105,0.11981881021022486,0.13602006861342444,0.11664685482032526,0.4574628421933895,0.1798367436828584,0.12723587501484165,0.4465609042546781,0.1185583976803829,0.08558060151939054,0.06872399365767895,0.0337261856069054,0.07182613386756125,0.05675358767122364,0.08495362380409018,0.5859329654354333,0.165244258554986,0.11335586321017314,0.1008497761726286,0.13918159606875682,0.11723616570854804,0.16522188193710552,0.15030557360771904,0.15785956405230106,0.14174943454926348,0.4806133007989475,0.1562565790281851,0.15894954803261102,0.2118627009519575,0.32780087510178324,0.08276604353605439,0.0643685236440531,0.05722095215430137,0.08328179111631547,0.06242865798188674,0.1081993220929401,0.1086809008346307,0.16088730288601444
4,61,0.1103545209868386,0.13346390129988464,0.11144234558264823,0.10454358926895858,0.09841309437976697,0.08511050601937956,0.45616831059548496,0.16443589265436667,0.09309300632779383,0.3966824571426815,0.0981628798745188,0.07926318741812809,0.050536606284011625,0.02145656322653834,0.08825565532764362,0.07700852085839865,0.06009613021792873,0.5742559163374056,0.12466846765205875,0.13427396696995353,0.10272727415539169,0.1118514192790837,0.1274536659874799,0.1531069646563004,0.10799527991021965,0.12339588257326811,0.08056671256331532,0.4026973493945307,0.11096426297962085,0.1453456315206201,0.1963456187641421,0.32367306568229864,0.07086851189142188,0.05326032496683817,0.05566424972269736,0.07066742541984505,0.05500964259083516,0.09931571215073537,0.1120596757343589,0.13875926601821345
4,62,0.11279692545979277,0.11170486126524426,0.08820332182754285,0.10429768913382705,0.1083241601457583,0.1003459024391086,0.4746225158104712,0.13428462708488365,0.09850044557922677,0.346765158146164,0.1042418108554164,0.07174350009248702,0.059999545309010104,0.023502344069698197,0.07942164686505453,0.0687739952287385,0.050071116610884904,0.5946632041500934,0.15818095158347822,0.14017824501198275,0.10882172454056221,0.12792034999214497,0.09647610640950391,0.14388399237900745,0.1301641949036768,0.12329342174605963,0.11359654462575713,0.37433408475220686,0.10241510371219585,0.1501625901201518,0.18594528300313987,0.3121893215695607,0.06520479873773989,0.05174713570867096,0.04612018614044868,0.06317530545003307,0.04743799685653802,0.09034683170756913,0.09853556197920472,0.11843490626420011
4,63,0.12441691052253269,0.15519759310237996,0.10752848790504563,0.11059632646295676,0.1340451526615899,0.11928374132556557,0.41834337593989535,0.16902759757425617,0.12072828400132883,0.38118024101237,0.11724565665313132,0.09610779837682817,0.08092800758859751,0.08198541994096203,0.0714735487660133,0.07433829487408253,0.0631474436168795,0.5185344666299935,0.1481044235848555,0.13951970299690283,0.10937870848561256,0.12794022073635228,0.11771781989203801,0.2182978332025553,0.15224043966286804,0.1754465038120789,0.09698207417562121,0.40635570088662587,0.15345090229478556,0.15400319717614686,0.18167458902620573,0.3419993180145402,0.07287879607548559,0.0648329907895153,0.059888448124517046,0.06992064179912803,0.06401123559176959,0.10814301451337524,0.11105074689917149,0.14412519421801648
