adaptation_flights,adaptation_flight_ids,evaluation_flight_ids,setting,slope,intercept,RMSE_W,MAE_W,RMSLE,R2
1,117,"118,119,120",baseline_no_adaptation,1.0,0.0,53.094372691621786,47.08731083069405,0.34577229986808733,0.3144241343711027
1,117,"118,119,120",affine_log_calibration,1.1259286460343476,-0.29214377353820814,18.63580439089137,13.627018426745293,0.17495009446104282,0.9155392722377447
2,"117,118","119,120",baseline_no_adaptation,1.0,0.0,51.17362557761657,45.33033982448031,0.3388648827118668,0.34683855083705195
2,"117,118","119,120",affine_log_calibration,1.123632223819669,-0.2734948450753077,18.68610259492885,13.695061255638533,0.1822002911041971,0.9129105340252669
