campaign,flight_num,duration_s,horizontal_distance_m,path_length_m,altitude_range_m,vertical_displacement_m,mean_abs_climb_rate,climb_fraction,sink_fraction,mean_true_airspeed,mean_speed_horizontal,mean_headwind_component,mean_wind_speed,mean_air_density,mean_air_temperature,mean_pitch,mean_tilt_angle,mean_dynamic_pressure,mean_actual_power_W,mean_predicted_power_W,mean_residual_W,rmse_W
1,1,263.119999,4277.94134298439,4290.524178611144,71.81824000000002,9.681463999999991,0.9762361294712092,0.42802303262955854,0.3934740882917466,24.409897143953934,16.29192645420161,0.8443869012916627,3.733965393213857,1.1509781948176583,37.219487765834934,0.03760299536586366,0.2547550375324416,347.8424022032243,,,,
1,2,256.542133,4223.468473721947,4237.0312741767,66.56003,2.0768600000000106,1.0507971791828739,0.4547244094488189,0.42913385826771655,24.401677358267715,16.482999687779486,0.7721092934450527,3.8298097898329386,1.1548551604330708,36.12412017322835,0.03338387728713736,0.2628563599360363,348.01623597787744,,,,
1,3,258.565836,4183.624618667561,4195.232176866272,66.126687,-0.02643000000000484,0.967432684637451,0.4215686274509804,0.43137254901960786,24.17049602352941,16.227374447587252,1.1563827746364557,4.254022797104804,1.1562244501960786,35.67304521568628,0.02874967172589895,0.24895507090778632,341.262218860422,,,,
1,4,259.5781199999999,4217.319172349471,4229.779197143866,61.60303599999999,-1.315880000000007,0.959613056775586,0.365234375,0.45703125,24.412097470703124,16.304413605510277,0.781806844258867,3.6258261601858335,1.1564211267578126,35.672271625,0.023685880542326607,0.253083962824766,348.9851733553099,,,,
1,5,261.6020000000001,4150.942124932628,4163.815984474715,68.155993,1.8020640000000014,0.996702773796525,0.42084942084942084,0.44594594594594594,23.64665581660232,15.91482056894481,0.8449352043843885,4.154844381215644,1.155659437837838,35.8215310965251,0.024255797622040838,0.2502936460459371,327.40688326427835,,,,
1,6,275.7700249999999,4106.736936391993,4117.639086099383,65.45553000000001,2.272389999999973,0.8286457184500917,0.381651376146789,0.42935779816513764,22.399984671559633,14.919324893697226,0.47744936032975543,3.237879922420262,1.1670548434862384,34.138538110091744,0.03748658207460599,0.22927011957877502,295.251638596541,,,,
1,7,282.0289179999997,4153.100935027056,4166.643255568778,65.62464800000001,2.0715799999999973,0.9467113452682916,0.4352517985611511,0.43345323741007197,22.416797309352518,14.746877260204869,1.5038074250279894,4.1597398323754256,1.1543898526978418,36.164754201438846,0.025110976381968082,0.2447364525928611,294.70459493709905,,,,
1,8,298.0370329999999,4119.323781583938,4136.0125708234045,65.492525,-2.208984000000001,0.9842331180933898,0.4135593220338983,0.42033898305084744,21.428954879661017,13.865130077662824,1.119408318519782,3.5044485189804897,1.1526921040677967,36.57119244067797,0.03994698826443635,0.23901382565848733,270.7574743715871,,,,
1,9,294.0768880000002,4154.254570859184,4167.011758316555,67.14662000000001,0.5231899999999996,0.8498966490811206,0.4068965517241379,0.4103448275862069,22.958598584482758,14.17881420234902,1.9533876354017095,5.344772923157253,1.1485916389655173,37.350006,0.03299556281147439,0.2381947099790456,307.5019153337176,,,,
1,10,289.43279,4295.619382567904,4310.690870031753,74.08535999999998,10.162369999999981,0.9783366005297722,0.4553415061295972,0.4098073555166375,24.04011684763573,14.902267508827823,1.75252292359266,5.047923038670604,1.145614811033275,38.505872900175135,0.032742517894078026,0.2694723585829871,334.8754793783015,,,,
