campaign,flight_num,actual_Wh,predicted_Wh,actual_watch,predicted_watch,abs_percent_error
4,54,10.558570888592454,10.998272863476238,True,True,4.16440803895952
4,55,10.617561512986578,11.078444003302792,True,True,4.340756488695623
4,56,10.86249029116168,10.811995658108827,True,True,0.46485319387524326
4,57,9.579267388701457,10.199811173834991,False,True,6.477987929071204
4,58,9.460281232597774,10.026638568191862,False,False,5.986686036801541
4,59,8.864518664042853,9.316609572376654,False,False,5.100005149378471
4,60,9.18095778194007,10.097555939854427,False,False,9.983687755512879
4,61,9.311249776313604,10.376115732242642,False,True,11.43633756488731
4,62,8.465425627943619,9.815695525878962,False,False,15.950407661467391
4,63,10.89373724192472,11.615860081306039,True,True,6.628788847616203
4,64,9.801305675131395,10.489225775686904,False,True,7.018657751904945
4,65,9.546806195815108,10.429315747155616,False,True,9.244029188812492
4,66,9.57212237593027,10.73216040575405,False,True,12.11892184684946
4,67,10.07723279557732,11.03487745754357,False,True,9.503051893239386
4,68,8.643859804793902,10.185429793181443,False,True,17.83427801006888
4,69,9.273063708221434,10.525596622425027,False,True,13.507217825896161
4,70,8.990598510788624,10.254013902158977,False,True,14.052628307829206
4,71,7.914918716954925,9.857259346819001,False,False,24.54024733953737
5,72,10.04456638955093,9.930390777061966,False,False,1.136690306589416
5,73,9.832584231612133,9.611016017817924,False,False,2.253407736715423
5,74,9.384005728944874,9.540982706067329,False,False,1.672814165471578
5,75,9.548170422669163,9.569369614984728,False,False,0.2220236063783963
5,76,9.218175456255882,9.571821183429005,False,False,3.8363961377316085
5,77,9.02511185061894,9.418483048351348,False,False,4.358629613054946
5,78,8.748938114522288,9.615101106806955,False,False,9.900207098812727
5,79,8.770976174971922,9.51754158719833,False,False,8.511771065537047
5,80,8.2471609492044,9.251749404111438,False,False,12.18102157935878
5,81,10.079858724372366,9.827967173754768,False,False,2.4989591372797992
5,82,9.746784841578446,9.299025554597645,False,False,4.593917832993724
5,83,9.801898648454534,9.510121481873421,False,False,2.9767413135527327
5,84,9.345389121064994,9.259260297743493,False,False,0.9216183746416875
5,85,9.090571168988362,9.239556944109589,False,False,1.638904446724739
5,86,9.350124694903913,9.607958750696541,False,False,2.757546708795821
5,87,9.239763501913542,9.367506093853383,False,False,1.3825309696875403
5,88,8.962050291293123,9.459440255040075,False,False,5.549957293033499
5,89,8.903900754530223,9.29172913375045,False,False,4.355713185851762
6,90,10.101787560856923,9.239178383066394,False,False,8.539173612529975
6,91,9.874771580514114,8.990277654874594,False,False,8.957107700444347
6,92,9.487046318716283,8.937571711080608,False,False,5.791840675971591
6,93,9.65300569793408,8.950710997830235,False,False,7.275399208084475
6,94,9.97601403247077,9.167530301623032,False,False,8.104276199053226
6,95,9.335312004964333,8.892685105663693,False,False,4.741425879127123
6,96,9.0528480485327,8.875446610472892,False,False,1.9596201892349456
6,97,8.815234937257493,8.698332213031094,False,False,1.326144170387465
6,98,7.945686613887186,8.43349611190676,False,False,6.139299493224382
6,99,9.960885225992326,9.820780876470145,False,False,1.4065451648472684
6,100,9.796623577569926,9.8695227811824,False,False,0.7441258004378366
6,101,10.197186683347876,10.059620901134814,True,False,1.3490562297707975
6,102,9.684042289074508,10.00324291979482,False,False,3.296150731192413
6,103,8.420217219869768,8.825035323359321,False,False,4.807691926691348
6,104,8.68861998970905,9.148788419272575,False,False,5.296219999361888
6,105,8.300392008115812,9.028734269991904,False,False,8.774793541846531
6,106,8.231229209194208,9.140352375967177,False,False,11.04480441095587
6,107,9.063619561729851,9.910384212735076,False,False,9.342455795260834
6,108,9.829341066885467,9.419814450315435,False,False,4.1663689741086065
6,109,9.87794177866269,9.649438544892302,False,False,2.3132676714492986
6,110,9.341621346135351,9.167276073072184,False,False,1.8663277669169753
6,111,9.754952863243533,9.585868390913348,False,False,1.7333192143581988
6,112,9.691745211997134,9.34077326730333,False,False,3.621349272155292
6,114,8.923016151147793,9.167592213804454,False,False,2.740957300914446
6,115,8.58883152869409,9.306677274953566,False,False,8.357897623923037
6,116,7.9884633081249845,8.570895628797969,False,False,7.2909181429249115
7,117,12.311709631925392,8.782042025890224,True,False,28.669191457232042
7,118,11.713994593062612,8.283446943660401,True,False,29.28589066819176
7,119,11.496843184391285,8.326370316404946,True,False,27.576899303025538
7,120,11.206859554204152,8.23232617567941,True,False,26.54207777065319
