feature,pre_C1_C6_mean,C7_mean,standardized_mean_difference,pre_median,pre_p10,pre_p90,C7_flights,pre_flights,flight_level_rbf_mmd2_all_features
power_w,135.8124026464724,166.00093234109286,2.3236386634949526,136.3842516496956,118.01721542225754,152.31526240910497,4,114,1.2905664959037741
air_rho,1.1622383028633334,1.1238722981348652,-4.537109428978478,1.1629831890124405,1.149998989758132,1.170751876980406,4,114,1.2905664959037741
pitch,0.02708987498526047,-0.05654579484902396,-4.326432691093291,0.0290839490693495,0.001288050793649163,0.0486356257217878,4,114,1.2905664959037741
dynamic_pressure,360.17486247766686,351.90489659549326,-0.18466202676061608,360.6486804797663,300.1427328503784,413.56707828292514,4,114,1.2905664959037741
true_airspeed,24.72368233964523,24.97982193203376,0.16373988868578068,24.73510028284351,22.541147105477705,26.548967890677968,4,114,1.2905664959037741
climb_rate,0.010724856173796536,0.018238465849735788,0.39451953071112433,0.008607259127314979,-0.00644175492294934,0.030075265537166513,4,114,1.2905664959037741
ground_speed_3d,16.309086361091033,16.618065508663605,0.2464907376216839,16.50209753456697,14.752836532595705,17.765309848120907,4,114,1.2905664959037741
