campaign,model,features,RMSE_W,MAE_W,RMSLE,R2,macro_RMSE_W,macro_MAE_W,macro_RMSLE,macro_R2,delta_R2
4,Physics proxy,q_times_v+climb_positive+sink_positive+load_factor_proxy,47.59648637746897,37.44537161388406,0.588885244227832,0.42329536012844005,47.543226658839885,37.523459460723636,0.580547925801278,0.388263807918825,-1.5573925415064305
5,Physics proxy,q_times_v+climb_positive+sink_positive+load_factor_proxy,37.56977151963637,30.205355477849633,0.45397654635268236,0.6438697674182068,37.540508047679594,30.288228679506638,0.4502708587561476,0.6312451641678211,-0.6178298302208691
6,Physics proxy,q_times_v+climb_positive+sink_positive+load_factor_proxy,47.92411324315022,37.094387346739964,0.5494394361984893,0.4391900682148139,47.68585822170431,37.15670027284115,0.5439562619530665,0.41597529724213733,-1.4071402834646332
7,Physics proxy,q_times_v+climb_positive+sink_positive+load_factor_proxy,51.8820253831675,43.532826605908376,0.35581124940062336,0.36107775553372834,51.72828278320639,43.56194171791097,0.35518310791664837,0.35800842754132667,-0.3201408924497773
