window_position,seconds_before_prediction,mean_abs_shap,mean_abs_log_shap
0,31.878,0.05010744507375131,0.000375309785684427
1,31.372,0.042485801653399595,0.00032242746466533054
2,30.866,0.036637009671514675,0.00028145996671069464
3,30.36,0.032526594253769095,0.00025125343158423385
4,29.854,0.02987031302846489,0.00023185309603570585
5,29.348,0.027737489726322517,0.00021609333662589092
6,28.842,0.02608083190902961,0.0002048419040720798
7,28.336,0.025412615601969984,0.0002010109129484178
8,27.830000000000002,0.02470963537267949,0.00019665168342333813
9,27.324,0.02443295080970361,0.0001962655352413331
10,26.818,0.024640843211845495,0.00019916300681037543
11,26.312,0.024832085965585775,0.0002018468232848976
12,25.806,0.025049465475771637,0.00020433766505756072
13,25.3,0.025710983622809748,0.00020976823235374918
14,24.794,0.02643284193912782,0.00021798553019364509
15,24.288,0.026885667757884864,0.00022130907128624702
16,23.782,0.027224862090229035,0.0002249608069280512
17,23.276,0.028457332300897312,0.00023462238128642111
18,22.77,0.02870870772338637,0.00023899361893316585
19,22.264,0.02890758235072291,0.0002420583334653623
20,21.758,0.02917393687073938,0.0002431568862435944
21,21.252,0.03005924582758081,0.0002501621138328583
22,20.746,0.030822607391493523,0.0002563576884760136
23,20.240000000000002,0.03259726664529363,0.0002708001725526346
24,19.734,0.03396927105974997,0.0002831585806293647
25,19.228,0.034707995692488364,0.00028847636123789454
26,18.722,0.0368108790404334,0.0003067050349647913
27,18.216,0.03704995052612328,0.00031145465839634267
28,17.71,0.03857736008436736,0.0003269993940927386
29,17.204,0.03944247960937509,0.0003358052435345096
30,16.698,0.0406114774804913,0.00035213075156270967
31,16.192,0.04261386036305797,0.0003720095929740744
32,15.686,0.04522915053352747,0.0003958743751887869
33,15.18,0.04689583798104105,0.00041376617636779925
34,14.674,0.04867863800349904,0.00042882468865672226
35,14.168,0.04987250420730045,0.00043778022006102217
36,13.662,0.05137547433131592,0.00045202516023183116
37,13.156,0.053950307530468505,0.00047302753972819345
38,12.65,0.056318888114793124,0.0004954541729326446
39,12.144,0.058658802524400734,0.0005165809395893296
40,11.638,0.06185557571423832,0.0005452684446857675
41,11.132,0.06720519088216832,0.0005910756791674737
42,10.626,0.07178907123094917,0.0006299482762347866
43,10.120000000000001,0.07564831079244157,0.0006692064955529966
44,9.614,0.08138623723552829,0.0007221946358393972
45,9.108,0.08477735331020173,0.0007539177535937022
46,8.602,0.09010844698455127,0.0008079534199416444
47,8.096,0.09433492336129985,0.0008567421184355117
48,7.59,0.10085450602009496,0.0009300014548493735
49,7.084,0.10563639516969467,0.0009745316373832757
50,6.578,0.11435332219424095,0.0010459368819834205
51,6.072,0.12394399340260359,0.0011370039578395901
52,5.566,0.13318467860809335,0.0012322484223727434
53,5.0600000000000005,0.1429605769728357,0.0013270016770787596
54,4.554,0.15909390685336272,0.0014879641655025618
55,4.048,0.17863692534856634,0.001675100038074162
56,3.542,0.2092119640185799,0.0019420621369135404
57,3.036,0.2528566116968003,0.00234074499572279
58,2.5300000000000002,0.3166769653033034,0.0029377922039876313
59,2.024,0.4243489847536605,0.003907145406392738
60,1.518,0.585611957430072,0.005491031139819382
61,1.012,0.8052594039130914,0.007539101514235337
62,0.506,1.0724625481551704,0.010112240602238882
63,0.0,2.544778041989898,0.02263894642805623
