metric,pre_C1_C6_mean,C7_mean,standardized_mean_difference
rmse_W,18.9595688247584,54.241293996081104,9.95476962140207
mean_residual_W,-4.333879008423885,46.57300996553006,7.510870532503968
mean_air_density,1.1622383028633334,1.1238722981348652,-6.193538612982538
mean_pitch,0.02708987498526047,-0.05654579484902396,-6.0396937723010655
sink_fraction,0.418450879363433,0.3685199323883358,-3.404253251286841
mean_actual_power_W,134.48938187265648,166.00093234109283,3.127007808866274
mean_abs_climb_rate,0.9417986293715058,0.8208328619809483,-3.089022000399445
mean_predicted_power_W,138.82326088108036,119.42792237556279,-2.6361946241139727
mean_wind_speed,3.335586947904859,1.7094769966692995,-1.7219093301199928
mean_tilt_angle,0.25542647896514586,0.23454032315070944,-1.678052065812204
climb_fraction,0.41062291879768054,0.39645936945681026,-0.8088824229695752
mean_air_temperature,35.18390676274517,34.43322904590294,-0.5608385085228855
duration_s,259.4714984912281,253.082937,-0.44020826750626474
altitude_range_m,65.6090258245614,66.2284275,0.3554902625619726
mean_speed_horizontal,16.26267968855662,16.581126446107973,0.34693054003415513
mean_dynamic_pressure,360.1748624776668,351.9048965954932,-0.24845658101151277
mean_headwind_component,0.8189534842759588,0.7208338091981219,-0.22180642563178057
mean_true_airspeed,24.723682339645226,24.979821932033758,0.21898864043317068
vertical_displacement_m,0.5521057456140364,0.40559749999999894,-0.07117519377257733
path_length_m,4197.178996083935,4195.095258129875,-0.033968761785334645
horizontal_distance_m,4185.523426669531,4185.966154350602,0.007212532798882141
