campaign,model,features,window,hidden_size,layers,dropout,epochs,max_rows_per_flight,learning_rate,train_rows,seconds,RMSE_W,MAE_W,RMSLE,R2,macro_RMSE_W,macro_MAE_W,macro_RMSLE,macro_R2,delta_R2
4,GRU-state-time,40,64,64,2,0.05,55,0,0.0007,27723,28.78138250001939,21.657898544800137,17.25069989291469,0.2914766171708279,0.8805912126836792,21.329544162104156,17.21241011422198,0.2849805912297457,0.8655677550769956,0.3181546259456989
5,GRU-state-time,40,64,64,2,0.05,55,0,0.0007,36873,36.22245129998191,19.237123085740368,14.708114755293542,0.223352618174329,0.9066290058210896,19.1409659901619,14.69207611770794,0.2208175499906144,0.9005618480961916,0.445551767370526
6,GRU-state-time,40,64,64,2,0.05,55,0,0.0007,45751,44.71825800000806,17.330166350249673,12.933517339261243,0.2392595134425252,0.9266647143806804,17.193234015162766,12.931033478888022,0.2364595652304693,0.9214019338405464,0.4962011967533586
7,GRU-state-time,40,64,64,2,0.05,55,0,0.0007,58451,55.49935860000551,54.31973287616577,48.19707720568072,0.3494481772024908,0.2996269664316292,54.241293996081104,48.22545950265234,0.3493384848856792,0.2943874676721051,0.4273309218151949
